productCode,stockQuantity
G-H850-W900-U1,139
G-H850-W950-U1,142
G-H850-W1000-U1,42
G-H850-W1050-U1,60
G-H850-W1100-U1,20
G-H850-W1150-U1,80
G-H850-W1200-U1,108
G-H850-W1250-U1,22
G-H850-W1300-U1,75
G-H850-W1500-U1,86
G-H900-W850-U1,127
G-H900-W900-U1,105
G-H900-W950-U1,103
G-H900-W1000-U1,164
G-H900-W1050-U1,73
G-H900-W1100-U1,851
G-H900-W1150-U1,78
G-H900-W1200-U1,148
G-H900-W1500-U1,33
G-H1000-W400-U1,42
G-H1000-W500-U1,27
G-H1000-W600-U1,23
G-H1000-W700-U1,37
G-H1000-W800-U1,59
G-H1000-W850-U1,45
G-H1000-W900-U1,44
G-H1000-W950-U1,65
G-H1000-W1000-U1,84
G-H1000-W1050-U1,71
G-H1000-W1100-U1,36
G-H1000-W1150-U1,72
G-H1000-W1200-U1,65
G-H1000-W1250-U1,48
G-H1000-W1300-U1,27
G-H1000-W1350-U1,6
G-H1000-W1400-U1,22
G-H1000-W1450-U1,7
G-H1000-W1500-U1,19
G-H1000-W400-U2,21
G-H1000-W500-U2,24
G-H1000-W600-U2,25
G-H1000-W700-U2,22
G-H1000-W800-U2,12
G-H1000-W850-U2,3
G-H1000-W900-U2,3
G-H1000-W950-U2,1
G-H1000-W1000-U2,3
G-H1000-W1050-U2,6
G-H1000-W1100-U2,0
G-H1000-W1150-U2,2
G-H1000-W1200-U2,18
G-H1000-W1250-U2,3
G-H1000-W1300-U2,0
G-H1000-W1400-U2,5
G-H1000-W1500-U2,21
G-H1000-W400-U3,21
G-H1000-W500-U3,24
G-H1000-W600-U3,21
G-H1000-W700-U3,19
G-H1000-W800-U3,39
G-H1000-W850-U3,41
G-H1000-W900-U3,44
G-H1000-W950-U3,50
G-H1000-W1000-U3,57
G-H1000-W1050-U3,55
G-H1000-W1100-U3,33
G-H1000-W1150-U3,42
G-H1000-W1200-U3,44
G-H1000-W1250-U3,46
G-H1000-W1300-U3,15
G-H1000-W1350-U3,25
G-H1000-W1400-U3,23
G-H1000-W1450-U3,22
G-H1000-W1500-U3,24
