productCode,productName,categoryCode,categoryName,groupCode,groupName,componentType,compatibleRailingSystems,finishCode,finishName,widthMm,heightMm,layoutWidthMm,enabled
G-H850-W900-U1,900 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,900,850,900,true
G-H850-W950-U1,950 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,950,850,950,true
G-H850-W1000-U1,1000 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1000,850,1000,true
G-H850-W1050-U1,1050 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1050,850,1050,true
G-H850-W1100-U1,1100 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1100,850,1100,true
G-H850-W1150-U1,1150 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1150,850,1150,true
G-H850-W1200-U1,1200 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1200,850,1200,true
G-H850-W1250-U1,1250 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1250,850,1250,true
G-H850-W1300-U1,1300 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1300,850,1300,true
G-H850-W1500-U1,1500 x 850 mm Clear Glass Panel,G,Glass Panel,G-H850,850 mm Glass Panel,glassPanel,FP-958-TM,U1,Clear,1500,850,1500,true
G-H900-W850-U1,850 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,850,900,850,true
G-H900-W900-U1,900 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,900,900,900,true
G-H900-W950-U1,950 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,950,900,950,true
G-H900-W1000-U1,1000 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1000,900,1000,true
G-H900-W1050-U1,1050 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1050,900,1050,true
G-H900-W1100-U1,1100 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1100,900,1100,true
G-H900-W1150-U1,1150 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1150,900,1150,true
G-H900-W1200-U1,1200 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1200,900,1200,true
G-H900-W1500-U1,1500 x 900 mm Clear Glass Panel,G,Glass Panel,G-H900,900 mm Glass Panel,glassPanel,"HP-448-TM, HP-628-SM",U1,Clear,1500,900,1500,true
G-H1000-W400-U1,400 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,400,1000,400,true
G-H1000-W500-U1,500 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,500,1000,500,true
G-H1000-W600-U1,600 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,600,1000,600,true
G-H1000-W700-U1,700 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,700,1000,700,true
G-H1000-W800-U1,800 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,800,1000,800,true
G-H1000-W850-U1,850 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,850,1000,850,true
G-H1000-W900-U1,900 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,900,1000,900,true
G-H1000-W950-U1,950 x 1000 mm Clear Glass Panel,G,Glass Panel,G-H1000,1000 mm Glass Panel,glassPanel,"UC-102-TM, UC-117-SM",U1,Clear,950,1000,950,true
