productCode,productName,productCategory,productCategoryName,"productGroup","productGroupName",width,"height","color","colorName","price","quantity"
G-U1-900x850,900x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,900,850,U1,Clear,15300,139
G-U1-950x850,950x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,950,850,U1,Clear,16150,142
G-U1-1000x850,1000x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1000,850,U1,Clear,17000,42
G-U1-1050x850,1050x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1050,850,U1,Clear,17850,60
G-U1-1100x850,1100x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1100,850,U1,Clear,18700,20
G-U1-1150x850,1150x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1150,850,U1,Clear,19550,80
G-U1-1200x850,1200x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1200,850,U1,Clear,20400,108
G-U1-1250x850,1250x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1250,850,U1,Clear,21250,22
G-U1-1300x850,1300x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1300,850,U1,Clear,22100,75
G-U1-1500x850,1500x850mm Glass Panel - Clear,G,Glass Panel,"G-U1-850",850mm Glass Panel - Clear,1500,850,U1,Clear,25500,86
G-U1-850x900,850x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,850,900,U1,Clear,16150,127
G-U1-900x900,900x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,900,900,U1,Clear,17100,105
G-U1-950x900,950x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,950,900,U1,Clear,18050,103
G-U1-1000x900,1000x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1000,900,U1,Clear,19000,164
G-U1-1050x900,1050x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1050,900,U1,Clear,19950,73
G-U1-1100x900,1100x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1100,900,U1,Clear,20900,851
G-U1-1150x900,1150x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1150,900,U1,Clear,21850,78
G-U1-1200x900,1200x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1200,900,U1,Clear,22800,148
G-U1-1500x900,1500x900mm Glass Panel - Clear,G,Glass Panel,"G-U1-900",900mm Glass Panel - Clear,1500,900,U1,Clear,28500,33
G-U1-400x1000,400x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,400,1000,"U1","Clear",13200,42
G-U1-500x1000,500x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,500,1000,"U1","Clear",16500,27
G-U1-600x1000,600x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,600,1000,"U1","Clear",19800,23
G-U1-700x1000,700x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,700,1000,"U1","Clear",23100,37
G-U1-800x1000,800x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,800,1000,"U1","Clear",26400,59
G-U1-850x1000,850x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,850,1000,"U1","Clear",28050,45
G-U1-900x1000,900x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,900,1000,"U1","Clear",29700,44
G-U1-950x1000,950x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,950,1000,"U1","Clear",31350,65
G-U1-1000x1000,1000x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1000,1000,"U1","Clear",33000,84
G-U1-1050x1000,1050x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1050,1000,"U1","Clear",34650,71
G-U1-1100x1000,1100x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1100,1000,"U1","Clear",36300,36
G-U1-1150x1000,1150x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1150,1000,"U1","Clear",37950,72
G-U1-1200x1000,1200x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1200,1000,"U1","Clear",39600,65
G-U1-1250x1000,1250x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1250,1000,"U1","Clear",41250,48
G-U1-1300x1000,1300x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1300,1000,"U1","Clear",42900,27
G-U1-1350x1000,1350x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1350,1000,"U1","Clear",44550,6
G-U1-1400x1000,1400x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1400,1000,"U1","Clear",46200,22
G-U1-1450x1000,1450x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1450,1000,"U1","Clear",47850,7
G-U1-1500x1000,1500x1000mm Glass Panel - Clear,G,Glass Panel,"G-U1-1000",1000mm Glass Panel - Clear,1500,1000,"U1","Clear",49500,19
G-U2-400x1000,400x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,400,1000,"U2","Grey / Clear",13520,21
G-U2-500x1000,500x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,500,1000,"U2","Grey / Clear",16900,24
G-U2-600x1000,600x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,600,1000,"U2","Grey / Clear",20280,25
G-U2-700x1000,700x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,700,1000,"U2","Grey / Clear",23660,22
G-U2-800x1000,800x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,800,1000,"U2","Grey / Clear",27040,12
G-U2-850x1000,850x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,850,1000,"U2","Grey / Clear",28730,3
G-U2-900x1000,900x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,900,1000,"U2","Grey / Clear",30420,3
G-U2-950x1000,950x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,950,1000,"U2","Grey / Clear",32110,1
G-U2-1000x1000,1000x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1000,1000,"U2","Grey / Clear",33800,3
G-U2-1050x1000,1050x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1050,1000,"U2","Grey / Clear",35490,6
G-U2-1100x1000,1100x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1100,1000,"U2","Grey / Clear",37180,0
G-U2-1150x1000,1150x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1150,1000,"U2","Grey / Clear",38780,2
G-U2-1200x1000,1200x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1200,1000,"U2","Grey / Clear",40560,18
G-U2-1250x1000,1250x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1250,1000,"U2","Grey / Clear",42250,3
G-U2-1300x1000,1300x1000mm Glass Panel - Grey / Clear,G,Glass Panel,"G-U2-1000",1000mm Glass Panel - Grey/Clear,1300,1000,"U2","Grey / Clear",43940,0
